Title,Link,AuthorProfiles,DearOfPublication,DateOfPublication
The student experiences of teaching and learning in transnational higher education: A phenomenographic study from a British-Qatari partnership,https://pureportal.coventry.ac.uk/en/publications/the-student-experiences-of-teaching-and-learning-in-transnational,"[{""name"": ""Ayoubi, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi""}, {""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,2022
The University Colonised/Coloniser,https://pureportal.coventry.ac.uk/en/publications/the-university-colonisedcoloniser,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,10 Jun 2022
Using open education practices across the Mediterranean for intercultural curriculum development in higher education,https://pureportal.coventry.ac.uk/en/publications/using-open-education-practices-across-the-mediterranean-for-inter-2,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2022
Walking with teachers: A study to explore the importance of teacher wellbeing and their careers,https://pureportal.coventry.ac.uk/en/publications/walking-with-teachers-a-study-to-explore-the-importance-of-teache,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,7 Feb 2022
“It needs to be the right blend”: a qualitative exploration of remote e-workers’ experience and well-being at work.”,https://pureportal.coventry.ac.uk/en/publications/it-needs-to-be-the-right-blend-a-qualitative-exploration-of-remot,"[{""name"": ""Grant, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/christine-grant""}, {""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,14 Feb 2022
"Adapting a capacity-development-in-higher-education project: Doing, being and becoming virtual collaboration",https://pureportal.coventry.ac.uk/en/publications/adapting-a-capacity-development-in-higher-education-project-doing,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,12 Mar 2021
A history of the development of the mathematics and statistics support community in the United Kingdom.  Part 1: From alpha to sigma,https://pureportal.coventry.ac.uk/en/publications/a-history-of-the-development-of-the-mathematics-and-statistics-su,"[{""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}]",,19 Jan 2021
"""Being"" a Head of Department in an English University",https://pureportal.coventry.ac.uk/en/publications/being-a-head-of-department-in-an-english-university,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,9 Dec 2021
Borderlanders: Academic Staff being and becoming Doctoral Students,https://pureportal.coventry.ac.uk/en/publications/borderlanders-academic-staff-being-and-becoming-doctoral-students,"[{""name"": ""Clouder, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,2021
"Can COIL be effective in using diversity to contribute to equality? Experiences of iKudu, a European-South African consortium operating via a decolonised approach to project delivery",https://pureportal.coventry.ac.uk/en/publications/can-coil-be-effective-in-using-diversity-to-contribute-to-equalit,"[{""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,16 Aug 2021
Conceptualising leadership and emotions in higher education: wellbeing as wholeness,https://pureportal.coventry.ac.uk/en/publications/conceptualising-leadership-and-emotions-in-higher-education-wellb,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,2021
Critiquing Inclusive Pedagogies: Online conversations on Inclusive online pedagogies,https://pureportal.coventry.ac.uk/en/publications/critiquing-inclusive-pedagogies-online-conversations-on-inclusive,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,16 Sept 2021
Decolonising Education – Fostering Conversations - Interim Project Report,https://pureportal.coventry.ac.uk/en/publications/decolonising-education-fostering-conversations-interim-project-re,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,9 Sept 2021
Development and validation of the e-Work Self-Efficacy Scale to assess digital competencies in remote working,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-the-e-work-self-efficacy-scale-to-a,"[{""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}, {""name"": ""Grant, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/christine-grant""}]",,31 Jul 2021
"Digital critical literacy development and intercultural awareness raising ‘in’ action, ‘on’ action and ‘for’ action in ELT",https://pureportal.coventry.ac.uk/en/publications/digital-critical-literacy-development-and-intercultural-awareness,"[{""name"": ""Orsini-Jones, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones""}]",,1 Oct 2021
Dual-status academics: What makes for meaningful identity-work?,https://pureportal.coventry.ac.uk/en/publications/dual-status-academics-what-makes-for-meaningful-identity-work,"[{""name"": ""Clouder, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,21 Jun 2021
Ecologized Collaborative Online International Learning: Tackling Wicked Sustainability Problems through Education for Sustainable Development,https://pureportal.coventry.ac.uk/en/publications/ecologized-collaborative-online-international-learning-tackling-w,"[{""name"": ""Brown, G."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/geraldine-brown""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,17 Jul 2021
Education as Bulwark of Uselessness.,https://pureportal.coventry.ac.uk/en/publications/education-as-bulwark-of-uselessness,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,28 Feb 2021
"Emotions in Learning, Teaching, and Leadership: A Bibliometric Review of Asian Literature (1990–2018)",https://pureportal.coventry.ac.uk/en/publications/emotions-in-learning-teaching-and-leadership-a-bibliometric-revie,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,25 Jan 2021
Exploring differential engagement with mathematics support from an engineering student focus,https://pureportal.coventry.ac.uk/en/publications/exploring-differential-engagement-with-mathematics-support-from-a,"[{""name"": ""Gokhool, F."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/farhana-gokhool""}, {""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}, {""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}, {""name"": ""Aslam, F."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/farzana-aslam""}]",,23 Dec 2021
Finding our place in the world with the Sustainable Development Goals,https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,"[{""name"": ""Bello, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello""}]",,18 Feb 2021
Institute of Coding - Educational Evaluation Report,https://pureportal.coventry.ac.uk/en/publications/institute-of-coding-educational-evaluation-report,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Raven, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/steve-raven""}]",,26 Mar 2021
"Integrating Sustainability-Oriented Ecologies of Practice Across the Learning Cycle: Supporting Transformative Behaviours in Transgenerational, Transnational and Transdisciplinary Spaces",https://pureportal.coventry.ac.uk/en/publications/integrating-sustainability-oriented-ecologies-of-practice-across-,"[{""name"": ""Chen, Y-F."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen""}, {""name"": ""Dang, Q."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/que-anh-dang""}, {""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,30 Dec 2021
Internationalisation in the classroom and questions of alignment: embedding COIL in an internationalised curriculum,https://pureportal.coventry.ac.uk/en/publications/internationalisation-in-the-classroom-and-questions-of-alignment-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,22 Feb 2021
"JOVITAL - Jordan Opportunity for Virtual Innovative Teaching and Learning Final Report on project activity and impact evaluation 2017-2021: International Online Teaching and Learning, with particular attention to the Jordanian Case",https://pureportal.coventry.ac.uk/en/publications/jovital-jordan-opportunity-for-virtual-innovative-teaching-and-le,"[{""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}, {""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,Apr 2021
Lessons for mathematics higher education from 25 years of mathematics support,https://pureportal.coventry.ac.uk/en/publications/lessons-for-mathematics-higher-education-from-25-years-of-mathema,"[{""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}]",,15 Apr 2021
Measuring Early-Primary Students Resilience through Playful Learning,https://pureportal.coventry.ac.uk/en/publications/measuring-early-primary-students-resilience-through-playful-learn,"[{""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}, {""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,27 Sept 2021
Measuring Prosocial Behaviors: Psychometric Properties and Cross-National Validation of the Prosociality Scale in Five Countries,https://pureportal.coventry.ac.uk/en/publications/measuring-prosocial-behaviors-psychometric-properties-and-cross-n,"[{""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,22 Jul 2021
Motivation factors in student decisions to study Transnational Higher Education in China: a comparative study of two Anglo-Sino programmes,https://pureportal.coventry.ac.uk/en/publications/enhancing-transnational-education-tne-programmes-understanding-st,"[{""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}, {""name"": ""Harrison, P."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/peter-harrison""}, {""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,29 Mar 2021
Obstinate Memory: Documentary as trauma in disrupting state narratives on racial violence,https://pureportal.coventry.ac.uk/en/publications/obstinate-memory-documentary-as-trauma-in-disrupting-state-narrat,"[{""name"": ""Fero, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/ken-fero""}]",,5 Oct 2021
Online Pedagogies Beyond the Classroom,https://pureportal.coventry.ac.uk/en/publications/online-pedagogies-beyond-the-classroom,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,11 Nov 2021
Outcomes of school administrators’ emotion management: A review of evidence in Asian countries,https://pureportal.coventry.ac.uk/en/publications/outcomes-of-school-administrators-emotion-management-a-review-of-,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,28 Apr 2021
Practising cultural sensitivity in virtual spaces: Virtual International Cultural Diversity Festival,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces-virtual-interna,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,17 Sept 2021
"Self-efficacy, affective well-being, and intent-to-leave by science and mathematics teachers: A structural equation model",https://pureportal.coventry.ac.uk/en/publications/self-efficacy-affective-well-being-and-intent-to-leave-by-science,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,1 Apr 2021
"Spirituality and Well-Being of Children, Adolescent, and Adult Students: A Scientific Mapping of the Literature",https://pureportal.coventry.ac.uk/en/publications/spirituality-and-well-being-of-children-adolescent-and-adult-stud,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,Dec 2021
Stories and scenarios: lecturers’ use of fantastic hypothetical events,https://pureportal.coventry.ac.uk/en/publications/stories-and-scenarios-lecturers-use-of-fantastic-hypothetical-eve,"[{""name"": ""Nesi, H."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/hilary-nesi""}, {""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}]",,Sept 2021
Students’ perceptions and experiences of teaching and learning in transnational higher education in China: implications of the intercultural dialogue framework,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-teaching-and-learning-in-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}, {""name"": ""Harrison, P."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/peter-harrison""}]",,17 Mar 2021
The early impact of the Covid-19 pandemic on mathematical competencies on entry into a UK university,https://pureportal.coventry.ac.uk/en/publications/the-early-impact-of-the-covid-19-pandemic-on-mathematical-compete,"[{""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}]",,1 Dec 2021
The Factors Predicting the Achievement of the Immigrant Students: A Multilevel Analysis of PISA 2018,https://pureportal.coventry.ac.uk/en/publications/the-factors-predicting-the-achievement-of-the-immigrant-students-,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,12 Apr 2021
The Promise of Higher Education,https://pureportal.coventry.ac.uk/en/publications/the-promise-of-higher-education,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,Dec 2021
"The roles of morphology, phonology and prosody in reading and spelling multisyllabic words",https://pureportal.coventry.ac.uk/en/publications/the-roles-of-morphology-phonology-and-prosody-in-reading-and-spel,"[{""name"": ""Enderby, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jodie-enderby""}, {""name"": ""Carroll, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/julia-carroll""}]",,Jul 2021
"Towards the mapping of learning, playful, and frugal aspects for developing 21st century competencies and resilience",https://pureportal.coventry.ac.uk/en/publications/towards-the-mapping-of-learning-playful-and-frugal-aspects-for-de,"[{""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}, {""name"": ""Masters, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alex-masters""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,24 Sept 2021
Unlocking creative leadership in the primary school,https://pureportal.coventry.ac.uk/en/publications/unlocking-creative-leadership-in-the-primary-school,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,11 Oct 2021
Uses of corpus linguistics in education research: An adjustable lens,https://pureportal.coventry.ac.uk/en/publications/uses-of-corpus-linguistics-in-education-research-an-adjustable-le,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}]",,2021
Using narrative conventions to analyse travel stories,https://pureportal.coventry.ac.uk/en/publications/using-narrative-conventions-to-analyse-travel-stories,"[{""name"": ""Angelov, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov""}]",,1 May 2021
Where Her Breast Wasn't There: Transfemininity and the Philippine Modern,https://pureportal.coventry.ac.uk/en/publications/where-her-breast-wasnt-there-transfemininity-and-the-philippine-m,"[{""name"": ""Jacobo, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo""}]",,21 Jul 2021
Who am I today? Academic staff being and becoming doctoral students,https://pureportal.coventry.ac.uk/en/publications/who-am-i-today-academic-staff-being-and-becoming-doctoral-student,"[{""name"": ""Clouder, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,27 May 2021
“Everyone seems to be agreeing at the minute that face-to-face is the way forward”: Practitioners’ perspectives on post-pandemic Mathematics and Statistics Support,https://pureportal.coventry.ac.uk/en/publications/everyone-seems-to-be-agreeing-at-the-minute-that-face-to-face-is-,"[{""name"": ""Gilbert, H."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert""}, {""name"": ""Hodds, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mark-hodds""}, {""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}]",,1 Dec 2021
Academic development to support the internationalization of the curriculum (IoC): A qualitative research synthesis,https://pureportal.coventry.ac.uk/en/publications/academic-development-to-support-the-internationalization-of-the-c,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2 Jul 2020
A corpus-driven investigation of connections between the language of written feedback information and ethnic attainment disparity in UK higher education,https://pureportal.coventry.ac.uk/en/publications/a-corpus-driven-investigation-of-connections-between-the-language,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}, {""name"": ""Gardner, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sheena-gardner""}]",,6 Feb 2020
A qualitative research synthesis exploring professional touch in healthcare practice using the threshold concept framework,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-research-synthesis-exploring-professional-touch-in-,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,1 Aug 2020
Breaking boundaries and building bridges across knowledge-sharing communities: OpenMed,https://pureportal.coventry.ac.uk/en/publications/breaking-boundaries-and-building-bridges-across-knowledge-sharing,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,20 Feb 2020
Cultural diversity in the adoption of open education in the Mediterranean basin: collectivist values and power distance in the universities of the Middle East,https://pureportal.coventry.ac.uk/en/publications/cultural-diversity-in-the-adoption-of-open-education-in-the-medit,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2020
"Curbing university autonomy and academic freedom in the name of quality assurance, accountability and internationalisation in East Asia",https://pureportal.coventry.ac.uk/en/publications/curbing-university-autonomy-and-academic-freedom-in-the-name-of-q,"[{""name"": ""Dang, Q. A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/que-anh-dang""}]",,Aug 2020
Decolonising academic selves through auto-ethnography,https://pureportal.coventry.ac.uk/en/publications/decolonising-academic-selves-through-auto-ethnography,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,3 Dec 2020
Enhancing school safety through university engagement in DRR education,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-safety-through-university-engagement-in-drr-educ,"[{""name"": ""Chen, Y. F."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen""}]",,1 Apr 2020
Friend or Foe: the complexities of being an academic and a doctoral student in the same institution,https://pureportal.coventry.ac.uk/en/publications/friend-or-foe-the-complexities-of-being-an-academic-and-a-doctora,"[{""name"": ""Clouder, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,1 Sept 2020
From COIL to curriculum transformation in South Africa: How can curriculum decolonization operate in the third space in Global South-North collaborations?,https://pureportal.coventry.ac.uk/en/publications/from-coil-to-curriculum-transformation-in-south-africa-how-can-cu,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,3 Dec 2020
Innovation in Collaborative Online International Learning: A Holistic Blend,https://pureportal.coventry.ac.uk/en/publications/innovation-in-collaborative-online-international-learning-a-holis,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Orsini-Jones, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones""}]",,20 Sept 2020
Juggling competing activities: academic staff as doctoral candidates,https://pureportal.coventry.ac.uk/en/publications/juggling-competing-activities-academic-staff-as-doctoral-candidat,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,15 Apr 2020
"Mapping Community, Social, and Economic risks to investigate the association with school violence and bullying in Italy",https://pureportal.coventry.ac.uk/en/publications/mapping-community-social-and-economic-risks-to-investigate-the-as,"[{""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,Nov 2020
Neurodiversity in higher education: a narrative synthesis,https://pureportal.coventry.ac.uk/en/publications/neurodiversity-in-higher-education-a-narrative-synthesis,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}, {""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,1 Oct 2020
"Protocol for a systematic review of measures of attainment in literacy, mathematics and science.",https://pureportal.coventry.ac.uk/en/publications/protocol-for-a-systematic-review-of-measures-of-attainment-in-lit,"[{""name"": ""Carroll, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/julia-carroll""}]",,14 May 2020
Students’ engagement and learning experiences using virtual patient simulation in a computer supported collaborative learning environment,https://pureportal.coventry.ac.uk/en/publications/students-engagement-and-learning-experiences-using-virtual-patien,"[{""name"": ""Bluteau, P."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau""}]",,2 Jan 2020
The Anti-Ecological University,https://pureportal.coventry.ac.uk/en/publications/the-anti-ecological-university,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,Jul 2020
The evolution of mathematics support: a literature review,https://pureportal.coventry.ac.uk/en/publications/the-evolution-of-mathematics-support-a-literature-review,"[{""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}]",,16 Nov 2020
The extent and uptake of mathematics support in higher education: results from the 2018 survey,https://pureportal.coventry.ac.uk/en/publications/the-extent-and-uptake-of-mathematics-support-in-higher-education-,"[{""name"": ""Lawson, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/duncan-lawson""}]",,30 May 2020
The Role of Traditional and Online Moral Disengagement on Cyberbullying: Do Externalising Problems Make Any Difference?,https://pureportal.coventry.ac.uk/en/publications/the-role-of-traditional-and-online-moral-disengagement-on-cyberbu,"[{""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,1 Feb 2020
Towards a Final Absolution: A South by South Approach to Trans Resistance from Brazil and the Philippines,https://pureportal.coventry.ac.uk/en/publications/towards-a-final-absolution-a-south-by-south-approach-to-trans-res,"[{""name"": ""Jacobo, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo""}]",,1 Dec 2020
"You Can Deny Seriousness, But You Can’t Deny Play’: Emergent Resistance to Purposive Games.",https://pureportal.coventry.ac.uk/en/publications/you-can-deny-seriousness-but-you-cant-deny-play-emergent-resistan,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,19 Nov 2020
A participatory co-creation model to drive community engagement in rural indigenous schools: A case study in Sarawak,https://pureportal.coventry.ac.uk/en/publications/a-participatory-co-creation-model-to-drive-community-engagement-i,"[{""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Clarke, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/samantha-clarke""}]",,1 Sept 2019
Assessment of co-creativity in the process of game design,https://pureportal.coventry.ac.uk/en/publications/assessment-of-co-creativity-in-the-process-of-game-design,"[{""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,1 Sept 2019
A Synthesis of the South African Educational Landscape and a Critical Analysis of Student Attainment.,https://pureportal.coventry.ac.uk/en/publications/a-synthesis-of-the-south-african-educational-landscape-and-a-crit,"[{""name"": ""Solomons, Z."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/zaira-solomons""}]",,25 Mar 2019
Augmented Reality Research in Education: A Bibliometric Study,https://pureportal.coventry.ac.uk/en/publications/augmented-reality-research-in-education-a-bibliometric-study,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,9 May 2019
Can the Benefits of Creative Methods Support the Inclusion of Children as part of Intergenerational Research Projects?,https://pureportal.coventry.ac.uk/en/publications/can-the-benefits-of-creative-methods-support-the-inclusion-of-chi,"[{""name"": ""Holliday, N."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/nikki-holliday""}, {""name"": ""Carroll, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/julia-carroll""}]",,2 May 2019
Capacity Building for Virtual Innovative Teaching and Learning in Jordan – Experiences of the JOVITAL project,https://pureportal.coventry.ac.uk/en/publications/capacity-building-for-virtual-innovative-teaching-and-learning-in,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,18 Jun 2019
Carnival of invention,https://pureportal.coventry.ac.uk/en/publications/carnival-of-invention,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,1 May 2019
"Connecting Leadership, Professional Development and Affect",https://pureportal.coventry.ac.uk/en/publications/connecting-leadership-professional-development-and-affect,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,18 Feb 2019
Developmental Language Disorder: Cognition in Childhood,https://pureportal.coventry.ac.uk/en/publications/developmental-language-disorder-cognition-in-childhood,"[{""name"": ""Carroll, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/julia-carroll""}]",,20 Dec 2019
Filling the Puzzle: Using E-Work Wellbeing scale (EWW) to determine links between remote e-working and cognitive weariness and psychosomatic conditions,https://pureportal.coventry.ac.uk/en/publications/filling-the-puzzle-using-e-work-wellbeing-scale-eww-to-determine-,"[{""name"": ""Grant, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/christine-grant""}, {""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,1 Jun 2019
Game-based learning to teach higher order thinking in rural schools: Case studies in Sarawak Borneo,https://pureportal.coventry.ac.uk/en/publications/game-based-learning-to-teach-higher-order-thinking-in-rural-schoo,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}]",,1 Jun 2019
Global knowledge-exchange for widening participation in learning through Open Education Practices,https://pureportal.coventry.ac.uk/en/publications/global-knowledge-exchange-for-widening-participation-in-learning-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,13 May 2019
